PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
Nathan Mensah,CHA,25,9-Jun,230,San Diego State,Ghana,Undrafted,Undrafted,Undrafted,2,2,7.5,0.5,-61.2,9.1,31.3,8.1,41,4,6-9,81
Naz Reid,MIN,24,9-Jun,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,24,13.5,4.6,0.9,5.8,4.9,14.3,21.5,63.3,6.5,6-9,81
Neemias Queta,BOS,24,Jul-00,248,Utah State,Portugal,2021,2,39,5,3.6,4.6,0.2,19.5,15.2,19.7,12.7,52.3,1.8,7-1,85
Nic Claxton,BKN,24,11-Jun,215,Georgia,USA,2019,2,31,16,12.2,9.4,1.4,-1.9,11.2,21,15.7,65.3,7.6,6-11,83
Nick Richards,CHA,26,Jul-00,245,Kentucky,Jamaica,2020,2,42,18,8.6,6.3,0.4,-11.1,9.1,21.3,14,75.8,3.2,7-1,85
Nick Smith Jr.,CHA,19,2-Jun,185,Arkansas,USA,2023,1,27,9,4.6,0.7,0.3,-28.1,3.3,3.8,18.4,62.1,6.4,6-2,74
Nickeil Alexander-Walker,MIN,25,5-Jun,205,Virginia Tech,Canada,2019,1,17,24,7.1,2,2.5,4.9,2,5.9,13.8,53.6,14.7,6-5,77
Nicolas Batum,PHI,35,8-Jun,230,None,France,2008,1,25,20,5.7,3.7,2.2,16.8,3.9,11,7.6,71.7,10.4,6-8,80
Nikola Jokic,DEN,28,11-Jun,284,None,Serbia,2014,2,41,26,27,12.4,9.5,10,10.1,27.1,31.3,61.1,43.5,6-11,83
Nikola Jovic,MIA,20,10-Jun,205,None,Serbia,2022,1,27,4,3.5,5.8,2.3,9.2,2.2,44,17.6,50.9,23.1,6-10,82
Nikola Vucevic,CHI,33,10-Jun,260,Southern California,Montenegro,2011,1,16,28,16.7,10.5,3.5,-4.8,8.1,22.7,22.9,51,16.2,6-10,82
Noah Clowney,BKN,19,9-Jun,210,Alabama,USA,2023,1,21,1,0,1,0,-100,0,25,0,0,0,6-9,81
Norman Powell,LAC,30,4-Jun,215,UCLA,USA,2015,2,46,26,13.1,2.2,1,4.4,0.6,7.5,18.3,64.4,6,6-4,76
OG Anunoby,TOR,26,7-Jun,240,Indiana,United Kingdom,2017,1,23,21,15.5,4.2,2.5,1.5,3,9.6,18.6,59.6,10.5,6-7,79
Obi Toppin,IND,25,9-Jun,220,Dayton,USA,2020,1,8,25,12.3,3.4,1.4,-4.3,4.3,10.4,15.9,70.6,7.2,6-9,81
Ochai Agbaji,UTA,23,5-Jun,215,Kansas,USA,2022,1,14,26,6.5,2.6,1.1,-9.1,4.1,7.4,12.6,55.4,6.9,6-5,77
Olivier Sarr,OKC,24,10-Jun,240,Kentucky,France,Undrafted,Undrafted,Undrafted,5,2.4,4,0.2,19.3,8.7,23.9,8.5,69.4,2.2,6-10,82
Olivier-Maxence Prosper,DAL,21,7-Jun,230,Marquette,Canada,2023,1,24,15,2.4,1.7,0.6,0.8,4.4,15.4,12.8,49.8,10.1,6-7,79
Omer Yurtseven,UTA,25,11-Jun,275,Georgetown,Turkey,Undrafted,Undrafted,Undrafted,18,4.4,4.8,0.7,-15.6,12.1,25.8,16.2,55.2,8.7,6-11,83
Onuralp Bitim,CHI,24,6-Jun,215,None,Turkey,Undrafted,Undrafted,Undrafted,1,0,0,0,-45.2,0,0,0,0,0,6-6,78
Onyeka Okongwu,ATL,23,10-Jun,240,Southern California,USA,2020,1,6,25,9.1,6.9,1.4,2.4,10.3,17.8,12.9,64.9,7.8,6-10,82
Orlando Robinson,MIA,23,10-Jun,235,Fresno State,USA,Undrafted,Undrafted,Undrafted,12,6.6,4.8,1.9,3.6,9,19.9,15.9,60.6,15.6,6-10,82
Oscar Tshiebwe,IND,24,8-Jun,255,Kentucky,DRC,Undrafted,Undrafted,Undrafted,3,3.7,1.7,0.7,35.7,11.1,21.4,20,56.4,10.5,6-8,80
Oshae Brissett,BOS,25,7-Jun,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,11,2.3,2.2,0.4,-3.4,7.3,15.2,12.1,46,4.8,6-7,79
Otto Porter Jr.,TOR,30,8-Jun,230,Georgetown,USA,2013,1,3,11,2.5,2.2,0.3,8.9,4.4,14.2,8.8,53,2.8,6-8,80
Ousmane Dieng,OKC,20,9-Jun,185,None,France,2022,1,11,15,4.1,1.7,0.9,-8,3.5,11.4,15.2,58.1,12.3,6-9,81
P.J. Tucker,LAC,38,5-Jun,245,Texas,USA,2006,2,35,15,1.3,2.9,0.5,-0.5,6.6,11.3,4.3,49.2,4.3,6-5,77
P.J. Washington,CHA,25,7-Jun,230,Kentucky,USA,2019,1,12,21,13.3,5.1,2.4,-9.6,3.6,13.4,19.6,53.4,10.9,6-7,79
Paolo Banchero,ORL,21,10-Jun,250,Duke,USA,2022,1,1,25,21,6.8,4.4,1.7,4.1,16.7,27.5,55.7,20.8,6-10,82
Pascal Siakam,TOR,29,8-Jun,245,New Mexico State,Cameroon,2016,1,27,25,20.9,6.7,5,1.8,4.3,14.8,24.9,57.4,21.7,6-8,80
Pat Connaughton,MIL,30,5-Jun,209,Notre Dame,USA,2015,2,41,20,5.8,3.5,2.1,5.2,3.2,12,10.7,56.5,11.5,6-5,77
Patrick Baldwin Jr.,WAS,21,9-Jun,220,Wisconsin-Milwaukee,USA,2022,1,28,7,2.4,1.4,0.4,-3.7,4.7,16.3,15.8,57.6,11.1,6-9,81
Patrick Beverley,PHI,35,2-Jun,180,Arkansas,USA,2009,2,42,26,4.6,2.8,2.3,9.8,4.2,10.7,11.9,52.5,17.8,6-2,74
Patrick Williams,CHI,22,7-Jun,215,Florida State,USA,2020,1,4,28,9.5,4.3,1.4,1.8,4.3,11.9,15.9,54.4,7.1,6-7,79
Patty Mills,ATL,35,2-Jun,180,St. Mary's,Australia,2009,2,55,4,2.3,1,1,-10.3,0,11.1,13.3,45,13.8,6-2,74
Paul George,LAC,33,8-Jun,220,Fresno State,USA,2010,1,10,25,22.9,5.7,4.2,10.9,2,13.7,26.4,58.9,17.4,6-8,80
Paul Reed,PHI,24,9-Jun,210,DePaul,USA,2020,2,58,26,4.9,4.2,1,11.2,12.1,18.7,14.5,61.6,10,6-9,81
Payton Pritchard,BOS,25,1-Jun,195,Oregon,USA,2020,1,26,25,6.4,3.2,2.9,11.8,4.4,10.7,13.9,53.1,19.2,6-1,73
Peyton Watson,DEN,21,7-Jun,200,UCLA,USA,2022,1,30,25,5.6,2.3,1,1.1,3.6,9.4,14.5,55.6,8.3,6-7,79
Precious Achiuwa,TOR,24,8-Jun,243,Memphis,Nigeria,2020,1,20,19,8.1,5.9,2.1,-10.8,9.7,21.3,20.5,52.5,17.7,6-8,80
Quentin Grimes,NYK,23,5-Jun,210,Houston,USA,2021,1,25,23,6.8,1.4,1.1,-1.5,1.1,5.1,12.8,53.7,7.1,6-5,77
R.J. Hampton,MIA,22,4-Jun,175,None,USA,2020,1,24,2,1.5,1,0,45,0,10.5,10,75,0,6-4,76
