PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Luguentz Dort,OKC,74,0.5,3.4,0.7,0.4,0.1,0.5,26.5,35.3,5.4,2.7,5.4,0,29.7,11
Cam Thomas,BKN,57,0.4,3.4,1.25,0.4,0.2,0.3,58.8,70.6,5,15,5,5,50,91.6
Anthony Lamb,GSW,62,0.4,5.6,1.14,0.4,0.1,0.3,47.4,65.8,4.5,13.6,4.5,4.5,40.9,78.4
Nikola Vucevic,CHI,82,0.3,1.9,0.96,0.3,0.1,0.3,47.8,52.2,3.8,11.5,3.8,3.8,42.3,50.2
Paolo Banchero,ORL,72,0.5,2.2,0.73,0.3,0.1,0.4,33.3,35,8.8,2.9,5.9,0,38.2,13.7
Bam Adebayo,MIA,75,0.3,1.8,0.92,0.3,0.1,0.3,40.9,40.9,15.4,0,15.4,0,50,39.1
Jabari Smith Jr.,HOU,79,0.4,3,0.73,0.3,0.1,0.3,30.8,34.6,12.1,12.1,12.1,3,33.3,12.8
Grant Williams,BOS,79,0.2,3.1,1.21,0.3,0.1,0.2,53.3,66.7,10.5,10.5,5.3,0,52.6,85
Jaden Ivey,DET,74,0.3,1.5,1.15,0.3,0.1,0.2,37.5,53.1,15,5,15,0,45,79.7
Josh Green,DAL,60,0.4,4.3,1.09,0.4,0.2,0.3,62.5,65.6,9.5,19,9.5,4.8,52.4,72.7
Shai Gilgeous-Alexander,OKC,68,0.3,1.2,1.04,0.3,0.1,0.3,44.4,47.2,13.6,4.5,13.6,0,50,67
Terrence Ross,PHX,21,1.1,13,1,1.1,0.4,1,40.9,47.7,4.3,0,4.3,0,43.5,60.6
Pascal Siakam,TOR,71,0.3,1.4,0.96,0.3,0.1,0.3,50,63.9,8.3,20.8,8.3,4.2,37.5,49.8
Quentin Grimes,NYK,71,0.4,3.6,0.89,0.3,0.1,0.3,38.1,52.4,3.8,19.2,3.8,3.8,30.8,31.3
Reggie Jackson,LAC,52,0.3,2.9,1.22,0.4,0.2,0.3,52.9,61.8,5.6,5.6,5.6,5.6,50,87.7
Aaron Nesmith,IND,73,0.3,3.5,0.88,0.3,0.1,0.3,36.4,50,0,12,0,0,32,30
Bruce Brown,DEN,80,0.2,1.8,1.24,0.3,0.1,0.2,50,65.6,0,5.9,0,0,47.1,88.5
Giannis Antetokounmpo,MIL,63,0.3,1,1.1,0.3,0.1,0.2,53.3,53.3,15.8,10.5,15.8,5.3,52.6,74.9
David Roddy,MEM,70,0.3,4,1.05,0.3,0.1,0.3,42.1,55.3,0,5,0,0,40,67.8
Mike Conley,MIN,24,0.9,7.2,1,0.9,0.3,0.8,44.4,58.3,0,14.3,0,0,38.1,60.6
Seth Curry,BKN,61,0.4,4.2,0.95,0.3,0.2,0.3,47.6,50,0,4.5,0,0,45.5,48.5
Garrison Mathews,HOU,45,0.5,11.4,0.91,0.5,0.1,0.4,29.4,44.1,8.7,17.4,8.7,0,30.4,36.3
Keita Bates-Diop,SAS,67,0.2,2.6,1.33,0.3,0.1,0.2,63.6,68.2,20,6.7,20,0,66.7,94.7
Rodney McGruder,DET,32,0.5,9.8,1.18,0.6,0.2,0.5,37.5,56.3,5.9,0,0,0,41.2,82.8
Romeo Langford,SAS,43,0.5,6.3,1,0.5,0.1,0.3,46.2,46.2,25,10,20,0,55,60.6
Isaiah Livers,DET,52,0.4,6,1,0.4,0.2,0.4,42.1,44.7,5,0,5,0,45,60.6
Troy Brown Jr.,LAL,76,0.3,3.8,1,0.3,0.1,0.2,38.9,52.8,5,10,5,5,35,60.6
LaMelo Ball,CHA,36,0.6,2.3,0.95,0.6,0.2,0.5,36.8,44.7,9.5,4.8,9.5,4.8,38.1,47.8
MarJon Beauchamp,MIL,52,0.2,3.9,1.58,0.4,0.1,0.2,60,85,8.3,8.3,8.3,0,58.3,99.1
Josh Richardson,SAS,43,0.3,2.8,1.36,0.4,0.2,0.2,70,95,0,28.6,0,0,50,95.6
Kyrie Irving,DAL,20,1,4.1,1,1,0.4,1,42.1,50,0,0,0,0,42.1,60.6
Pat Connaughton,MIL,61,0.3,4,1,0.3,0.1,0.3,36.8,50,0,0,0,0,36.8,60.6
Jose Alvarado,NOP,61,0.2,2,1.5,0.3,0.1,0.2,54.5,72.7,8.3,0,8.3,0,58.3,98.7
De'Anthony Melton,PHI,77,0.2,2.1,1.06,0.2,0.1,0.2,46.7,60,0,11.8,0,0,41.2,68.6
Harrison Barnes,SAC,82,0.2,1.6,1.06,0.2,0.1,0.2,42.9,50,17.6,5.9,17.6,5.9,47.1,68.6
Royce O'Neale,BKN,76,0.2,2.4,1,0.2,0.1,0.2,37.5,56.3,0,11.1,0,0,33.3,60.6
Cameron Johnson,BKN,25,0.6,3.9,1.21,0.7,0.2,0.4,54.5,72.7,7.1,14.3,7.1,0,50,86.2
Obi Toppin,NYK,67,0.2,3.1,1.13,0.3,0.1,0.2,40,56.7,0,0,0,0,40,77.9
Christian Wood,DAL,67,0.2,1.6,1.06,0.3,0.1,0.2,42.9,50,12.5,6.3,12.5,6.3,43.8,70.4
Myles Turner,IND,62,0.3,1.7,1.06,0.3,0.1,0.2,35.7,53.6,6.3,6.3,6.3,0,37.5,70.4
Cameron Johnson,PHX,17,1,8.7,1,1,0.4,0.9,40,56.7,0,11.8,0,0,35.3,60.6
Talen Horton-Tucker,UTA,65,0.3,2.5,0.85,0.3,0.1,0.2,28.6,32.1,30,5,25,5,45,24.7
Marcus Smart,BOS,61,0.4,2.9,0.74,0.3,0.1,0.3,28.6,40.5,0,4.3,4.3,0,26.1,14.5
Alec Burks,DET,51,0.5,4.1,0.71,0.3,0.1,0.4,28.6,33.3,8.3,8.3,8.3,4.2,29.2,11.5
