PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Jamal Murray,DEN,9,1.4,8.4,0.69,1,0.4,1.3,33.3,37.5,0,7.7,0,0,30.8,20
Jeremy Sochan,SAS,20,0.7,5.2,0.64,0.5,0.2,0.7,23.1,26.9,7.1,0,7.1,0,28.6,17.3
CJ McCollum,NOP,8,1.3,6.2,0.8,1,0.3,1,25,25,20,0,10,0,40,34
De'Anthony Melton,PHI,20,0.5,3.8,0.8,0.4,0.2,0.4,42.9,50,10,20,10,0,40,34
Gary Trent Jr.,TOR,18,0.6,5.3,0.64,0.4,0.2,0.6,27.3,31.8,0,0,0,0,27.3,16.4
Bones Hyland,LAC,12,1,10.7,0.58,0.6,0.1,0.8,11.1,16.7,16.7,8.3,16.7,0,25,11.8
Collin Sexton,UTA,21,1,8.3,0.32,0.3,0.1,0.8,12.5,12.5,9.1,18.2,4.5,0,18.2,2.7
Gordon Hayward,CHA,18,0.6,3.5,0.6,0.3,0.2,0.6,30,30,0,0,0,0,30,12.8
Dennis Smith Jr.,BKN,13,0.9,12.4,0.5,0.5,0.2,0.8,18.2,18.2,8.3,0,0,0,25,9.2
Marcus Sasser,DET,21,0.5,6.2,0.5,0.2,0.1,0.4,22.2,27.8,0,10,0,0,20,9.2
Scoot Henderson,POR,11,1,7.1,0.46,0.5,0.2,0.6,28.6,35.7,0,36.4,0,0,18.2,7.3
Danilo Gallinari,WAS,18,0.7,10.5,0.39,0.3,0.1,0.6,20,20,7.7,15.4,7.7,0,23.1,5.5
Josh Giddey,OKC,20,0.7,4.7,0.36,0.3,0.1,0.5,20,20,7.1,21.4,7.1,0,21.4,3.6
Christian Braun,DEN,22,0.5,5.3,0.4,0.2,0.1,0.4,22.2,22.2,0,10,0,0,20,6.4
John Collins,UTA,21,0.5,3.8,0.36,0.2,0.1,0.5,20,20,0,9.1,0,0,18.2,4.5
Caleb Martin,MIA,11,0.9,7.7,0.3,0.3,0.1,0.6,14.3,14.3,10,20,10,0,20,0.9
Deni Avdija,WAS,20,0.5,4.4,0.3,0.2,0.1,0.4,12.5,12.5,10,10,10,0,20,0.9
RJ Barrett,NYK,14,0.8,4.1,0,0,0,0.7,0,0,0,9.1,0,0,0,0
