PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Jalen Johnson,ATL,15,0.9,6.9,1.54,1.3,0.5,0.7,72.7,81.8,15.4,7.7,15.4,7.7,69.2,94.8
Isaiah Joe,OKC,20,0.8,9.7,1.25,1,0.3,0.8,40,60,6.3,0,6.3,0,43.8,68.8
Christian Wood,LAL,21,0.8,10.4,1.18,1,0.4,0.6,61.5,65.4,11.8,11.8,11.8,0,58.8,51.5
Goga Bitadze,ORL,19,0.8,13.6,1.19,1,0.5,0.7,64.3,64.3,12.5,0,12.5,0,62.5,55.7
DeAndre Jordan,DEN,7,1.7,27.3,1.5,2.6,1.1,1.6,72.7,72.7,33.3,0,33.3,25,75,92.6
James Wiseman,DET,11,1.4,27.8,1.2,1.6,0.6,1.1,58.3,58.3,20,0,20,0,66.7,60.9
Scottie Barnes,TOR,21,0.7,3.7,1.2,0.9,0.3,0.5,54.5,59.1,20,6.7,20,0,60,60.9
Jayson Tatum,BOS,19,0.8,3.1,1.2,0.9,0.3,0.6,45.5,63.6,13.3,13.3,13.3,0,46.7,60.9
Dwight Powell,DAL,18,0.7,21.8,1.42,0.9,0.3,0.4,75,75,33.3,8.3,33.3,8.3,75,85.6
Mitchell Robinson,NYK,19,0.7,11,1.14,0.8,0.4,0.7,61.5,61.5,7.1,0,7.1,0,57.1,46.4
Isaiah Hartenstein,NYK,19,0.8,14.7,1.07,0.8,0.3,0.6,54.5,54.5,20,13.3,13.3,6.7,53.3,36.5
Kevin Love,MIA,15,1,13.3,1.07,1.1,0.4,1,40,53.3,0,0,0,0,40,36.5
Julius Randle,NYK,19,1.1,4.5,0.8,0.8,0.3,0.9,35.3,44.1,5,15,5,5,30,6.2
Jonathan Kuminga,GSW,20,0.7,5.6,1.15,0.8,0.4,0.5,70,70,7.7,15.4,7.7,0,61.5,49.5
Buddy Hield,IND,18,0.9,7,0.94,0.8,0.3,0.9,37.5,46.9,0,0,0,0,37.5,20.6
Al Horford,BOS,17,1.1,14.9,0.83,0.9,0.4,0.8,50,53.6,0,22.2,0,0,38.9,10.4
Kevin Durant,PHX,18,0.6,2,1.4,0.8,0.3,0.5,55.6,61.1,20,0,20,10,60,83.5
Georges Niang,CLE,21,0.5,6.3,1.27,0.7,0.3,0.5,54.5,63.6,0,0,0,0,54.5,70.1
Walker Kessler,UTA,14,1,11.3,1,1,0.5,1,50,50,0,0,0,0,50,25
Isaiah Stewart,DET,21,1,8.6,0.67,0.7,0.3,0.8,37.5,40.6,4.8,23.8,4.8,4.8,28.6,2.1
Larry Nance Jr.,NOP,14,0.8,18.6,1.18,0.9,0.4,0.8,54.5,59.1,0,0,0,0,54.5,53.6
Jaylin Williams,OKC,15,1,21.4,0.87,0.9,0.3,1,33.3,43.3,0,0,0,0,33.3,13.4
Draymond Green,GSW,13,0.8,7.4,1.2,0.9,0.4,0.7,55.6,61.1,10,10,10,10,50,60.9
Royce O'Neale,BKN,19,0.5,6.3,1.2,0.6,0.2,0.5,44.4,66.7,0,10,0,0,40,60.9
Omer Yurtseven,UTA,15,0.9,17.3,0.92,0.8,0.4,0.9,46.2,46.2,0,0,0,0,46.2,19.6
Jaxson Hayes,LAL,18,0.7,21.4,0.92,0.6,0.2,0.4,57.1,57.1,16.7,25,8.3,0,50,17.7
Grant Williams,DAL,19,0.6,6.7,0.92,0.6,0.2,0.6,33.3,45.8,8.3,0,8.3,8.3,33.3,17.7
Thomas Bryant,MIA,13,1,17.6,0.85,0.8,0.4,0.8,45.5,45.5,7.7,7.7,7.7,0,46.2,12.4
Wendell Carter Jr.,ORL,5,2.8,23,0.79,2.2,0.6,1.8,33.3,38.9,21.4,14.3,21.4,0,42.9,5.2
Deni Avdija,WAS,20,0.6,4.8,0.82,0.5,0.2,0.6,36.4,40.9,0,0,0,0,36.4,8.2
Jabari Smith Jr.,HOU,18,0.6,5,0.73,0.4,0.2,0.6,27.3,36.4,0,0,0,0,27.3,3.1
Tim Hardaway Jr.,DAL,18,0.6,4,0.73,0.4,0.2,0.6,27.3,31.8,9.1,0,9.1,9.1,27.3,3.1
Jalen Suggs,ORL,20,0.5,4,0.6,0.3,0.1,0.3,33.3,33.3,20,30,20,10,30,1
Xavier Tillman,MEM,10,1.4,14.9,0.43,0.6,0.3,1.2,25,25,7.1,7.1,7.1,0,21.4,0
