,GP_PnR_handler,POSS_PnR_handler,FREQ%_PnR_handler,PPP_PnR_handler,PTS_PnR_handler,FGM_PnR_handler,FGA_PnR_handler,FG%_PnR_handler,EFG%_PnR_handler,FT_PnR_handler,TOV_PnR_handler,SF_PnR_handler,AND ONE_PnR_handler,SCORE_PnR_handler,PERCENTILE_PnR_handler,LABEL,PLAYER,Constant
82,18.0,1.9,17.0,1.14,2.2,0.9,1.7,53.3,58.3,8.6,8.6,5.7,2.9,51.4,92.5,2,Gary Trent Jr.,
83,18.0,2.9,21.1,0.77,2.2,1.0,2.3,43.9,46.3,3.8,19.2,3.8,1.9,36.5,31.6,0,Eric Gordon,
84,20.0,2.3,25.1,0.83,1.9,0.9,1.9,45.9,48.6,2.2,17.4,2.2,0,39.1,42.8,0,Malaki Branham,
85,17.0,2.7,18.8,0.83,2.2,0.9,2.1,41.7,43.1,10.9,10.9,8.7,0,43.5,42.8,0,Brandon Miller,
86,19.0,2.6,11.0,0.76,1.9,0.7,1.7,39.4,40.9,16.3,20.4,16.3,4.1,38.8,29.3,0,Julius Randle,
87,17.0,3.2,34.8,0.69,2.2,0.8,2.5,32.6,33.7,7.4,13,3.7,0,33.3,18.6,0,Tre Jones,
88,13.0,2.5,35.6,1.09,2.7,1.1,2.0,53.8,55.8,15.6,6.3,15.6,3.1,53.1,90.4,2,Craig Porter Jr.,
89,18.0,1.9,16.4,1.03,1.9,0.7,1.6,46.4,50.0,14.7,8.8,14.7,5.9,47.1,78.7,2,Bruce Brown,
90,11.0,3.7,36.6,0.85,3.2,1.3,2.5,50.0,51.8,9.8,22,9.8,0,43.9,48.4,1,Derrick Rose,
91,21.0,2.0,16.2,0.81,1.7,0.6,1.6,35.3,38.2,11.6,9.3,9.3,0,39.5,40.4,0,Collin Sexton,
92,16.0,2.9,23.7,0.76,2.2,0.9,2.4,36.8,42.1,4.3,13,4.3,0,34.8,30.3,0,Khris Middleton,
93,11.0,4.8,31.9,0.66,3.2,1.5,3.5,44.7,46.1,0,28.3,0,0,32.1,17.0,0,Marcus Smart,
94,20.0,1.6,26.9,1.03,1.7,0.7,1.3,50.0,59.6,3.1,15.6,3.1,0,43.8,79.3,2,Cameron Payne,
95,21.0,2.7,23.0,0.57,1.5,0.6,2.1,29.5,33.0,3.6,17.9,3.6,0,26.8,10.1,0,Talen Horton-Tucker,
96,20.0,2.9,21.6,0.55,1.6,0.7,2.1,31.0,33.3,3.4,24.1,3.4,0,25.9,8.0,0,Jeremy Sochan,
