,GP_off_screen,POSS_off_screen,FREQ%_off_screen,PPP_off_screen,PTS_off_screen,FGM_off_screen,FGA_off_screen,FG%_off_screen,EFG%_off_screen,FT_off_screen,TOV_off_screen,SF_off_screen,AND ONE_off_screen,SCORE_off_screen,PERCENTILE_off_screen,LABEL,PLAYER,Constant
67,19.0,0.6,2.7,0.92,0.6,0.3,0.6,41.7,45.8,0,0,0,0,41.7,34.2,0,Tyrese Maxey,
68,21.0,0.7,3.4,0.73,0.5,0.2,0.7,28.6,35.7,6.7,0,6.7,0,33.3,13.9,0,Pascal Siakam,
69,17.0,1.0,6.9,0.65,0.6,0.3,0.8,35.7,39.3,0,17.6,0,0,29.4,7.6,0,OG Anunoby,
70,16.0,0.6,3.9,1.0,0.6,0.3,0.6,44.4,55.6,0,10,0,0,40,42.5,0,Caris LeVert,
71,8.0,1.5,7.5,0.83,1.3,0.4,1.4,27.3,36.4,8.3,0,8.3,0,33.3,25.6,0,CJ McCollum,
72,16.0,0.8,3.5,0.83,0.6,0.3,0.6,40.0,50.0,0,16.7,0,0,33.3,25.6,0,Darius Garland,
73,20.0,0.7,3.4,0.71,0.5,0.2,0.7,28.6,32.1,7.1,0,7.1,7.1,28.6,10.1,0,Dejounte Murray,
74,21.0,0.5,4.6,0.82,0.4,0.2,0.5,40.0,45.0,9.1,9.1,9.1,9.1,36.4,21.5,0,Jaime Jaquez Jr.,
75,21.0,0.6,10.2,0.61,0.4,0.1,0.5,30.0,40.0,0,23.1,0,0,23.1,5.1,0,Ochai Agbaji,
76,22.0,0.5,4.4,0.7,0.3,0.1,0.4,25.0,31.3,10,10,10,0,30,8.9,0,Kentavious Caldwell-Pope,
77,15.0,0.8,3.1,0.58,0.5,0.2,0.6,33.3,38.9,0,25,0,0,25,3.8,0,LaMelo Ball,
78,16.0,1.1,4.0,0.41,0.4,0.2,1.1,17.6,20.6,0,0,0,0,17.6,2.5,0,Donovan Mitchell,
79,15.0,0.9,5.8,0.36,0.3,0.1,0.7,10.0,10.0,14.3,14.3,14.3,0,21.4,0.0,0,Devin Vassell,
80,13.0,0.8,5.4,0.4,0.3,0.2,0.8,20.0,20.0,0,0,0,0,20,1.3,0,Cameron Johnson,
