,GP_post_up,POSS_post_up,FREQ%_post_up,PPP_post_up,PTS_post_up,FGM_post_up,FGA_post_up,FG%_post_up,EFG%_post_up,FT_post_up,TOV_post_up,SF_post_up,AND ONE_post_up,SCORE_post_up,PERCENTILE_post_up,LABEL,PLAYER,Constant
57,18.0,1.0,4.3,0.83,0.8,0.3,0.8,40.0,40.0,16.7,5.6,16.7,5.6,38.9,24.6,1,Brandon Ingram,
58,21.0,0.6,5.5,1.17,0.7,0.3,0.5,54.5,54.5,8.3,0,8.3,0,58.3,82.9,0,Moritz Wagner,
59,15.0,0.8,3.9,1.17,0.9,0.3,0.6,44.4,44.4,25,0,16.7,0,58.3,82.9,0,Lauri Markkanen,
60,18.0,0.6,5.2,1.2,0.7,0.1,0.2,50.0,50.0,50,10,50,0,70,88.9,0,Mark Williams,
61,20.0,0.6,5.6,1.09,0.6,0.2,0.4,42.9,42.9,36.4,0,36.4,0,63.6,70.8,0,Clint Capela,
62,9.0,1.4,8.4,0.92,1.3,0.7,1.3,50.0,50.0,0,7.7,0,0,46.2,43.7,1,Jamal Murray,
63,20.0,0.7,5.6,0.92,0.6,0.3,0.6,54.5,54.5,0,15.4,0,0,46.2,43.7,1,Brook Lopez,
64,21.0,0.7,2.8,0.8,0.6,0.2,0.6,41.7,41.7,6.7,13.3,6.7,0,40,15.7,1,Cade Cunningham,
65,18.0,1.1,4.1,0.58,0.6,0.2,0.7,33.3,33.3,10.5,26.3,5.3,0,31.6,5.6,1,Anthony Edwards,
66,21.0,1.0,6.8,0.5,0.5,0.1,0.8,18.8,18.8,13.6,13.6,13.6,0,27.3,2.8,1,Evan Mobley,
67,20.0,0.5,7.5,1.0,0.5,0.2,0.4,57.1,57.1,10,20,10,0,50,55.7,1,Day'Ron Sharpe,
68,21.0,0.6,7.4,0.83,0.5,0.2,0.4,50.0,50.0,16.7,16.7,8.3,0,41.7,24.6,1,Christian Wood,
69,14.0,0.7,9.8,0.8,0.6,0.2,0.5,42.9,42.9,10,20,10,0,40,15.7,1,Jalen Smith,
70,20.0,0.9,6.0,0.47,0.4,0.2,0.7,28.6,28.6,11.8,5.9,11.8,0,23.5,1.4,1,Russell Westbrook,
71,21.0,0.5,5.2,0.6,0.3,0.1,0.3,50.0,50.0,0,40,0,0,30,6.9,1,Jakob Poeltl,
72,21.0,0.6,2.9,0.5,0.3,0.0,0.3,14.3,14.3,16.7,25,8.3,0,25,2.8,1,Franz Wagner,
73,18.0,0.6,3.7,0.4,0.2,0.1,0.4,25.0,25.0,0,20,0,0,20,0.0,1,P.J. Washington,
